kr	sw
25.30813	192.3
25.36809	192.4
25.42805	192.5
25.48801	192.6
25.54797	192.7
25.60792	192.8
25.66788	192.9
25.72784	193
25.7878	193.1
25.84776	193.2
25.90771	193.3
25.96767	193.4
26.02763	193.5
26.08759	193.6
26.14755	193.7
26.2075	193.8
26.26746	193.9
26.32742	194
26.38738	194.1
26.44734	194.2
26.50729	194.3
26.56725	194.4
26.62721	194.5
26.68717	194.6
26.74713	194.7
26.80708	194.8
26.86704	194.9
26.927	195
26.99208	195.1
27.05716	195.2
27.12224	195.3
27.18732	195.4
27.2524	195.5
27.31748	195.6
27.38256	195.7
27.44764	195.8
27.51272	195.9
27.5778	196
27.64288	196.1
27.70796	196.2
27.77304	196.3
27.83812	196.4
27.9032	196.5
27.96828	196.6
28.03336	196.7
28.09844	196.8
28.16352	196.9
28.2286	197
28.29368	197.1
28.35876	197.2
28.42384	197.3
28.48892	197.4
28.554	197.5
28.61908	197.6
28.68416	197.7
28.74924	197.8
28.81432	197.9
28.8794	198
28.94448	198.1
29.00956	198.2
29.07464	198.3
29.13972	198.4
29.2048	198.5
29.26988	198.6
29.33496	198.7
29.40004	198.8
29.46512	198.9
29.5302	199
29.59528	199.1
29.66036	199.2
29.72544	199.3
29.79052	199.4
29.8556	199.5
29.92068	199.6
29.98576	199.7
30.05084	199.8
30.11592	199.9
30.181	200
30.25188	200.1
30.32277	200.2
30.39365	200.3
30.46454	200.4
30.53542	200.5
30.6063	200.6
30.67719	200.7
30.74807	200.8
30.81896	200.9
30.88984	201
30.96072	201.1
31.03161	201.2
31.10249	201.3
31.17338	201.4
31.24426	201.5
31.31514	201.6
31.38603	201.7
31.45691	201.8
31.5278	201.9
31.59868	202
31.66956	202.1
31.74045	202.2
31.81133	202.3
31.88222	202.4
31.9531	202.5
32.02398	202.6
32.09487	202.7
32.16575	202.8
32.23664	202.9
32.30752	203
32.3784	203.1
32.44929	203.2
32.52017	203.3
32.59106	203.4
32.66194	203.5
32.73282	203.6
32.80371	203.7
32.87459	203.8
32.94548	203.9
33.01636	204
33.08724	204.1
33.15813	204.2
33.22901	204.3
33.2999	204.4
33.37078	204.5
33.44166	204.6
33.51255	204.7
33.58343	204.8
33.65432	204.9
